stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,statement,A,filler,Roberto cocina por la mañana.,white,,,,,0,0,0,0,343.0993020059832,None,343.0993020059832,None,343.0993020059832,None,343.0993020059832,None,343.12830784500693,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
2,statement,B,filler,Ana practicaba el yoga.,white,,,,,0,1,1,1,347.85973879499943,None,347.85973879499943,None,347.85973879499943,None,347.85973879499943,None,347.8947487969999,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
3,statement,A,filler,La niña pinta con su amiga.,white,,,,,0,2,2,2,352.52912299497984,None,352.52912299497984,None,352.52912299497984,None,352.52912299497984,None,352.5607388839999,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
4,statement,C,filler,Las chicas dan una fiesta hoy.,white,,,,,0,3,3,3,358.01056259998586,None,358.01056259998586,None,358.01056259998586,None,358.01056259998586,None,358.04677082100534,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
5,statement,A,filler,Isabel duerme por muchas horas.,white,,,,,0,4,4,4,362.66035822199774,None,362.66035822199774,None,362.66035822199774,None,362.66035822199774,None,362.69515657800366,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
6,statement,B,filler,Alberto nunca se afeita.,white,,,,,0,5,5,5,367.4273960889841,None,367.4273960889841,None,367.4273960889841,None,367.4273960889841,None,367.46272363798926,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
7,statement,A,filler,La madre pasa la aspiradora.,white,,,,,0,6,6,6,371.72890158498194,None,371.72890158498194,None,371.72890158498194,None,371.72890158498194,None,371.76265198900364,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
8,statement,C,filler,El estudiante odia la tarea.,white,,,,,0,7,7,7,376.4119992030028,None,376.4119992030028,None,376.4119992030028,None,376.4119992030028,None,376.4466884879803,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
9,statement,A,filler,El equipo practica mucho.,white,,,,,0,8,8,8,382.13021534497966,None,382.13021534497966,None,382.13021534497966,None,382.13021534497966,None,382.1629703079816,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
10,statement,B,filler,Juana barría el piso.,white,,,,,0,9,9,9,387.3959641630063,None,387.3959641630063,None,387.3959641630063,None,387.3959641630063,None,387.4119127189915,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
11,statement,A,filler,La abuela plancha la ropa.,white,,,,,0,10,10,10,392.06277292600134,None,392.06277292600134,None,392.06277292600134,None,392.06277292600134,None,392.09895818898804,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
12,statement,C,filler,Los abuelos compran un espejo.,white,,,,,0,11,11,11,397.0159119699965,None,397.0159119699965,None,397.0159119699965,None,397.0159119699965,None,397.04639830699307,None,spain,001,2020_Nov_24_1050,text_stim_for_audio,2020.2.4,60.076912272653445,
