stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,statement,A,filler,Roberto cocina por la mañana.,white,,,,,0,0,0,0,550.5744737409987,None,550.5744737409987,None,550.5744737409987,None,550.5744737409987,None,550.623391435016,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
2,statement,B,filler,Ana practicaba el yoga.,white,,,,,0,1,1,1,554.9391692270001,None,554.9391692270001,None,554.9391692270001,None,554.9391692270001,None,554.956683758006,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
3,statement,A,filler,La niña pinta con su amiga.,white,,,,,0,2,2,2,558.8407145840174,None,558.8407145840174,None,558.8407145840174,None,558.8407145840174,None,558.8745000479976,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
4,statement,C,filler,Las chicas dan una fiesta hoy.,white,,,,,0,3,3,3,562.84058993301,None,562.84058993301,None,562.84058993301,None,562.84058993301,None,562.860847117001,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
5,statement,A,filler,Isabel duerme por muchas horas.,white,,,,,0,4,4,4,567.47468957401,None,567.47468957401,None,567.47468957401,None,567.47468957401,None,567.5136898019991,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
6,statement,B,filler,Alberto nunca se afeita.,white,,,,,0,5,5,5,571.4258438280085,None,571.4258438280085,None,571.4258438280085,None,571.4258438280085,None,571.4576170860091,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
7,statement,A,filler,La madre pasa la aspiradora.,white,,,,,0,6,6,6,575.1265747120196,None,575.1265747120196,None,575.1265747120196,None,575.1265747120196,None,575.1615653769986,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
8,statement,C,filler,El estudiante odia la tarea.,white,,,,,0,7,7,7,579.025885451003,None,579.025885451003,None,579.025885451003,None,579.025885451003,None,579.0580299560097,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
9,statement,A,filler,El equipo practica mucho.,white,,,,,0,8,8,8,583.5927406930132,None,583.5927406930132,None,583.5927406930132,None,583.5927406930132,None,583.6091851370002,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
10,statement,B,filler,Juana barría el piso.,white,,,,,0,9,9,9,588.2422931590118,None,588.2422931590118,None,588.2422931590118,None,588.2422931590118,None,588.2586692420009,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
11,statement,A,filler,La abuela plancha la ropa.,white,,,,,0,10,10,10,592.1353538490075,None,592.1353538490075,None,592.1353538490075,None,592.1353538490075,None,592.1598391169973,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
12,statement,C,filler,Los abuelos compran un espejo.,white,,,,,0,11,11,11,596.5799998659932,None,596.5799998659932,None,596.5799998659932,None,596.5799998659932,None,596.6102189329977,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
13,statement,A,filler,El niño habla con su madre.,white,,,,,0,12,12,12,600.7935539809987,None,600.7935539809987,None,600.7935539809987,None,600.7935539809987,None,600.8270470610005,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
14,statement,B,filler,Hago ejercicio todos los días. ,white,,,,,0,13,13,13,605.0114489110128,None,605.0114489110128,None,605.0114489110128,None,605.0114489110128,None,605.0290895189974,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
15,statement,A,filler,La vista de la casa es bonita.,white,,,,,0,14,14,14,613.5527090170071,None,613.5527090170071,None,613.5527090170071,None,613.5527090170071,None,613.5942330720136,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
16,statement,B,filler,El baño no es muy grande. ,white,,,,,0,15,15,15,618.2120781870035,None,618.2120781870035,None,618.2120781870035,None,618.2120781870035,None,618.2606165790057,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
17,statement,A,filler,Compro un regalo para Navidad.,white,,,,,0,16,16,16,621.5416099720169,None,621.5416099720169,None,621.5416099720169,None,621.5416099720169,None,621.5780929290049,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
18,statement,C,filler,Tu cumpleaños es mañana.,white,,,,,0,17,17,17,625.1816874240176,None,625.1816874240176,None,625.1816874240176,None,625.1816874240176,None,625.1955867100041,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
19,statement,C,filler,Nadamos en la piscina por la tarde.,white,,,,,0,18,18,18,629.1118418870028,None,629.1118418870028,None,629.1118418870028,None,629.1118418870028,None,629.1340231950162,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
20,statement,A,filler,Karina siempre anda en bicicleta.,white,,,,,0,19,19,19,632.9803853680205,None,632.9803853680205,None,632.9803853680205,None,632.9803853680205,None,633.0116733470059,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
21,statement,B,filler,Los niños ganan el partido.,white,,,,,0,20,20,20,637.5293379350042,None,637.5293379350042,None,637.5293379350042,None,637.5293379350042,None,637.5631972349947,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
22,statement,A,filler,Cocinabas por la noche.,white,,,,,0,21,21,21,641.613945412013,None,641.613945412013,None,641.613945412013,None,641.613945412013,None,641.6295482680143,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
23,statement,A,filler,Dibujabas con tu amiga.,white,,,,,0,22,22,22,645.5302689300152,None,645.5302689300152,None,645.5302689300152,None,645.5302689300152,None,645.5638550980075,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
24,statement,C,filler,El hombre da un paseo. ,white,,,,,0,23,23,23,649.2663210820174,None,649.2663210820174,None,649.2663210820174,None,649.2663210820174,None,649.280149482016,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
25,statement,A,filler,Compramos en el supermercado.,white,,,,,0,24,24,24,653.4177928419958,None,653.4177928419958,None,653.4177928419958,None,653.4177928419958,None,653.4473260810191,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
26,statement,B,filler,Mateo piensa en las compras.,white,,,,,0,25,25,25,657.5502448640182,None,657.5502448640182,None,657.5502448640182,None,657.5502448640182,None,657.5811593060207,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
27,statement,A,filler,Emilia va al hospital.,white,,,,,0,26,26,26,661.7324861189991,None,661.7324861189991,None,661.7324861189991,None,661.7324861189991,None,661.7642346619978,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
28,statement,C,filler,El hotel tiene muchas habitaciones. ,white,,,,,0,27,27,27,665.1969769450079,None,665.1969769450079,None,665.1969769450079,None,665.1969769450079,None,665.2333678420109,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
29,statement,A,filler,El abrigo es muy barato. ,white,,,,,0,28,28,28,670.1134661950055,None,670.1134661950055,None,670.1134661950055,None,670.1134661950055,None,670.1488637750153,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
30,statement,B,filler,La discoteca es muy buena.,white,,,,,0,29,29,29,673.681560558005,None,673.681560558005,None,673.681560558005,None,673.681560558005,None,673.7321745220106,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
31,statement,A,filler,La ciudad tiene dos bancos.,white,,,,,0,30,30,30,677.5992975810077,None,677.5992975810077,None,677.5992975810077,None,677.5992975810077,None,677.6362650289957,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
32,statement,C,filler,Luis trabaja todo el día.,white,,,,,0,31,31,31,681.6819386449934,None,681.6819386449934,None,681.6819386449934,None,681.6819386449934,None,681.6982854700182,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
33,question,C,filler,¿Ella compra una mochila?,white,,,,,0,32,32,32,685.7164920750074,None,685.7164920750074,None,685.7164920750074,None,685.7164920750074,None,685.749352348008,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
34,question,A,filler,¿Mi padre cantaba bien?,white,,,,,0,33,33,33,689.5509515659942,None,689.5509515659942,None,689.5509515659942,None,689.5509515659942,None,689.5864724830026,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
35,question,B,filler,¿La vecina sale muy temprano? ,white,,,,,0,34,34,34,692.9514695779944,None,692.9514695779944,None,692.9514695779944,None,692.9514695779944,None,692.9837999340089,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
36,question,A,filler,¿Mi amiga mira la luna?,white,,,,,0,35,35,35,696.5002643220068,None,696.5002643220068,None,696.5002643220068,None,696.5002643220068,None,696.5167329139949,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
37,question,B,filler,¿Lucía va a la iglesia?,white,,,,,0,36,36,36,700.3001610219944,None,700.3001610219944,None,700.3001610219944,None,700.3001610219944,None,700.3345960430161,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
38,question,A,filler,¿Mi vecino habla mucho?,white,,,,,0,37,37,37,704.1668746640207,None,704.1668746640207,None,704.1668746640207,None,704.1668746640207,None,704.2066803000052,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
